16,2,18,13,45,14,51,10,53,7,5,0,8,2,5,0,0,0,0,0,0,6,75,2,22,2,5,36,2,0,28,14,5,1,34,4,0,2,3
68,47,50,60,2,59,111,55,34,57,106,23,8,12,6,0,0,0,0,0,13,9,54,49,2,109,5,100,41,43,44,42,10,12,70,50,53,16,9
1,83,135,185,44,115,6,37,31,22,45,25,106,11,0,3,0,0,0,0,13,6,3,76,72,98,23,64,19,49,13,37,8,34,25,12,14,7,32
43,107,7,65,34,305,92,47,24,58,74,24,89,59,53,5,6,0,0,0,0,32,63,101,57,59,47,1,31,110,20,36,9,45,51,30,2,27,19
0,119,154,150,62,96,54,69,86,55,10,99,14,8,109,38,1,2,3,82,75,19,0,4,64,3,70,27,132,30,36,16,22,0,35,28,10,29,38
35,39,10,93,107,54,77,49,53,143,152,96,2,23,4,42,92,206,204,10,0,0,4,0,45,3,27,20,31,116,82,84,228,65,122,42,109,12,3
0,89,34,56,249,73,131,65,15,93,16,43,37,126,53,44,101,183,160,22,3,0,4,5,42,57,53,132,40,163,50,9,71,0,5,25,38,28,20
4,42,11,119,89,8,32,99,127,53,36,19,39,6,6,7,75,149,60,49,2,0,0,0,33,176,4,49,11,1,107,0,12,38,0,49,7,6,0
51,23,17,118,7,38,53,41,44,21,118,97,194,85,161,171,105,38,10,34,23,0,0,4,20,18,34,2,98,49,192,28,62,38,0,8,16,88,12
77,40,10,133,26,29,31,32,60,41,35,95,57,119,95,63,10,10,7,5,69,0,2,0,25,1,81,21,91,36,47,111,17,96,25,18,2,17,2
10,19,26,204,49,72,34,29,57,54,72,108,5,79,30,43,86,4,2,7,55,0,0,0,16,14,69,7,53,4,1,99,1,10,24,0,0,0,14
10,45,7,120,27,61,41,54,47,95,78,3,17,107,6,5,45,0,0,36,6,0,0,0,36,59,142,21,48,4,0,41,0,0,24,0,27,7,11
43,106,39,121,46,85,29,75,100,150,220,15,24,54,2,0,42,90,25,37,1,0,0,3,11,7,55,26,89,73,25,60,0,0,18,1,80,264,0
9,45,115,332,82,121,55,19,101,66,2,49,191,125,108,117,128,75,52,45,0,0,0,9,269,23,48,36,2,48,73,47,25,1,6,54,89,55,0
43,73,93,196,219,267,51,6,135,51,5,37,105,86,2,5,40,5,34,3,1,0,2,34,51,127,50,68,8,28,78,7,4,23,51,48,17,31,6
11,68,201,129,154,48,155,177,97,22,1,109,70,94,8,29,61,80,2,1,0,6,235,52,40,59,73,21,99,39,75,7,35,10,70,64,6,25,20
27,263,48,96,120,153,73,195,148,89,12,123,19,15,7,51,25,11,0,0,3,18,137,87,113,366,91,1,68,77,54,57,54,20,40,43,18,6,6
1,153,10,118,83,2,287,251,79,83,108,251,161,78,74,49,8,2,0,1,24,27,39,65,92,155,159,138,118,65,24,24,371,35,93,2,8,53,23
46,322,113,100,10,98,246,68,226,143,156,352,92,30,73,27,0,1,8,29,10,2,35,18,227,144,23,18,100,306,106,54,9,14,32,58,50,0,1
29,185,41,146,12,162,241,67,84,34,151,110,43,104,26,1,2,1,20,29,44,39,88,51,111,196,30,68,123,5,102,104,86,121,6,8,51,93,26
22,258,104,108,201,351,132,123,132,42,168,45,11,92,2,0,8,40,56,42,66,22,26,178,102,144,101,18,67,60,69,22,18,53,45,98,14,4,1
108,74,119,112,97,56,120,75,85,75,131,40,118,17,0,1,36,74,2,70,109,121,27,36,21,48,26,112,98,84,15,31,49,8,2,39,43,56,46
87,23,60,45,268,104,64,41,29,25,222,88,111,0,0,3,28,195,99,85,0,47,126,66,42,45,64,72,1,70,32,10,15,11,42,11,0,35,31
16,108,62,6,64,2,66,75,54,132,25,58,209,2,0,45,136,179,29,61,49,23,33,85,112,61,66,29,18,40,0,23,4,6,6,2,10,44,6
4,30,8,126,2,1,17,5,15,168,70,42,128,5,0,0,0,0,32,8,23,21,1,13,40,117,195,95,87,55,59,82,49,22,3,0,4,31,0
30,50,37,110,25,53,107,40,79,48,36,21,117,7,1,0,0,0,0,0,12,0,0,1,0,21,2,0,0,0,1,0,15,27,57,69,56,44,47
28,131,79,231,67,85,1,0,152,33,101,50,164,51,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,37,86,44
0,0,7,76,0,44,46,47,124,18,60,15,79,46,25,18,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6,8
2,5,13,19,34,43,19,42,158,84,66,13,120,14,34,29,22,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,42,111,32,7,15,48,114,36,23,173,40,82,31,52,14,20,40,40,44,5,0,13,11,0,7,16,0,2,0,0,0,0,0,0,0,0,0,0
21,42,104,15,62,63,142,1,4,87,45,187,117,35,63,49,54,37,27,35,42,74,72,21,114,239,35,23,21,30,19,8,2,5,0,0,0,0,1
18,30,95,35,18,35,70,55,42,96,11,120,52,121,131,88,12,51,51,90,39,58,57,29,41,78,34,11,1,26,4,15,83,45,41,0,0,0,0
4,26,39,5,38,25,84,12,2,82,6,36,3,9,9,56,99,29,9,38,45,7,46,91,105,18,4,94,20,22,8,37,6,3,19,53,0,102,10
31,136,22,8,9,36,117,1,26,115,8,64,28,36,20,21,72,110,105,18,99,9,69,133,99,14,7,13,51,48,45,16,33,5,50,54,83,68,27
0,37,194,57,31,25,92,105,24,108,16,56,40,14,26,26,61,113,74,35,7,90,54,123,68,24,21,10,38,45,69,67,19,6,60,18,102,54,0
7,76,26,6,54,41,71,80,7,73,0,21,133,2,17,61,87,45,59,130,119,21,67,9,19,66,13,119,16,56,13,19,85,60,45,57,113,12,41
57,184,61,29,26,126,15,63,1,84,31,29,125,74,68,54,31,8,62,35,46,188,37,1,4,13,80,56,32,45,52,30,8,48,91,140,34,7,2
35,62,68,76,121,44,57,83,75,144,37,8,89,105,1,11,2,11,21,12,139,11,7,45,22,8,33,18,110,60,10,33,26,38,78,162,13,36,10
7,29,7,158,32,9,23,110,66,9,41,41,34,95,1,0,2,15,11,1,55,12,47,43,70,61,0,27,33,42,141,52,23,11,132,9,138,28,1
19,40,45,0,85,82,2,112,54,21,33,71,2,7,180,2,5,27,36,43,138,23,33,29,44,85,3,58,0,26,1,60,99,98,5,83,11,77,43
20,92,75,5,20,99,27,116,2,0,30,56,39,22,46,96,35,37,1,1,124,0,18,16,81,41,128,67,12,11,6,6,58,129,132,52,5,24,15
29,68,47,89,4,48,82,67,0,0,95,114,12,98,11,18,51,8,1,51,58,96,7,54,3,19,54,25,68,4,1,3,77,28,18,129,76,22,10
55,3,17,0,80,16,60,69,37,0,31,15,21,49,34,32,5,105,93,55,33,30,65,133,72,42,62,3,6,118,24,86,15,0,27,36,0,43,40
29,41,10,8,18,44,167,177,114,138,146,6,91,4,9,55,44,155,126,5,23,16,40,97,23,67,125,39,24,24,136,132,58,15,128,0,0,43,21
46,5,5,0,16,159,69,64,43,17,25,61,154,74,56,70,34,1,18,35,28,12,51,2,21,115,18,19,42,176,27,0,11,83,183,29,90,47,0
