LONCOL,LATCOL,vehicleNum,time,geometry
7,29,1,2007-02-19 06:35:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
7,29,1,2007-02-19 06:36:00,"POLYGON ((121.47367529676187 31.25126129935322, 121.47577918857138 31.25126129935322, 121.47577918857138 31.25305994143579, 121.47367529676187 31.25305994143579, 121.47367529676187 31.25126129935322))"
8,29,2,2007-02-19 06:37:00,"POLYGON ((121.47577918857138 31.25126129935322, 121.4778830803809 31.25126129935322, 121.4778830803809 31.25305994143579, 121.47577918857138 31.25305994143579, 121.47577918857138 31.25126129935322))"
8,29,1,2007-02-19 06:38:00,"POLYGON ((121.47577918857138 31.25126129935322, 121.4778830803809 31.25126129935322, 121.4778830803809 31.25305994143579, 121.47577918857138 31.25305994143579, 121.47577918857138 31.25126129935322))"
8,29,1,2007-02-19 06:39:00,"POLYGON ((121.47577918857138 31.25126129935322, 121.4778830803809 31.25126129935322, 121.4778830803809 31.25305994143579, 121.47577918857138 31.25305994143579, 121.47577918857138 31.25126129935322))"
8,29,1,2007-02-19 06:40:00,"POLYGON ((121.47577918857138 31.25126129935322, 121.4778830803809 31.25126129935322, 121.4778830803809 31.25305994143579, 121.47577918857138 31.25305994143579, 121.47577918857138 31.25126129935322))"
11,31,1,2007-02-19 06:41:00,"POLYGON ((121.48209086399994 31.25485858351836, 121.48419475580945 31.25485858351836, 121.48419475580945 31.25665722560093, 121.48209086399994 31.25665722560093, 121.48209086399994 31.25485858351836))"
13,31,2,2007-02-19 06:42:00,"POLYGON ((121.48629864761898 31.25485858351836, 121.48840253942849 31.25485858351836, 121.48840253942849 31.25665722560093, 121.48629864761898 31.25665722560093, 121.48629864761898 31.25485858351836))"
14,31,2,2007-02-19 06:43:00,"POLYGON ((121.48840253942849 31.25485858351836, 121.49050643123802 31.25485858351836, 121.49050643123802 31.25665722560093, 121.48840253942849 31.25665722560093, 121.48840253942849 31.25485858351836))"
14,31,2,2007-02-19 06:44:00,"POLYGON ((121.48840253942849 31.25485858351836, 121.49050643123802 31.25485858351836, 121.49050643123802 31.25665722560093, 121.48840253942849 31.25665722560093, 121.48840253942849 31.25485858351836))"
